Time,u1,u2,u3,u4
1991-01-08 11:30,-13.51253,4.52452,-6.18952,-0.53222
1991-02-01 09:15,-2.92485,-0.47376,2.10443,-0.08883
1991-02-01 11:30,-4.31204,-0.06199,-0.58425,0.48681
1991-02-07 11:30,-0.06471,0.68253,0.23745,-0.71518
1991-03-08 11:30,-2.59558,1.33813,-3.87172,1.02699
1991-03-27 11:30,-1.98402,0.82656,-1.19524,0.18731
1991-04-30 09:30,-19.12062,8.0198,-8.99086,1.15011
1991-04-30 11:30,1.14438,-1.00337,1.79979,-0.65942
1991-05-15 11:30,1.88737,-0.78596,1.52276,-0.59522
1991-07-05 11:30,0.02114,0.72364,1.4304,0.56751
1991-08-06 11:30,-18.63659,5.18019,-2.9494,-0.05365
1991-08-21 11:30,12.50816,-4.82307,0.0716,0.68868
1991-09-13 09:10,-5.29378,4.18354,-2.16361,0.37485
1991-09-13 11:30,-0.02954,0.52363,0.76839,-0.21145
1991-10-02 11:30,-1.08469,0.37677,0.46971,-0.0895
1991-10-30 11:30,-3.00505,2.10379,-0.4145,0.21799
1991-11-06 08:45,-10.07202,6.35147,-5.18212,-0.61806
1991-11-06 11:30,0.00475,-1.05228,0.97252,0.02232
1991-12-06 11:30,0.01612,0.8898,0.0661,0.35655
1991-12-18 11:30,4.80248,1.41175,-1.85392,0.42472
1991-12-20 08:30,-38.14061,-0.63138,-0.53193,-3.34545
1991-12-20 11:30,1.27611,1.2647,-1.44102,0.18256
1992-02-06 11:30,1.27699,0.90111,-1.25753,0.1912
1992-04-01 11:30,1.00115,0.51966,-0.11902,-0.37957
1992-04-09 11:30,-21.39948,-7.67271,3.45629,-0.35852
1992-05-20 11:30,-0.01259,3.64786,-2.44535,0.08914
1992-07-02 09:15,-8.51289,4.12605,0.57306,1.21866
1992-08-19 11:30,2.60844,0.84299,-1.12429,0.32295
1992-09-04 11:30,0.00793,-0.83409,1.50002,0.16354
1992-10-07 11:30,-0.05186,3.03094,-1.3021,-0.37829
1992-11-18 11:30,-4.96783,2.8946,-0.97926,0.73133
1992-12-23 11:30,3.87357,-1.3173,0.24114,-0.16469
1993-02-04 11:30,-0.01121,-0.02012,0.48131,-0.09019
1993-03-24 11:30,-0.01546,1.21612,0.12352,-0.0008
1993-05-19 11:30,-2.5672,-0.89874,-0.65477,-0.0124
1993-07-08 11:30,2.79264,-3.32221,-0.03788,0.75411
1993-08-18 11:30,-0.00398,1.29743,0.28419,0.18247
1993-09-22 11:30,0.00957,1.29011,-0.19404,0.2995
1993-11-17 11:30,2.32254,0.0884,-1.88052,-0.03052
1993-12-22 11:30,0.00492,-0.05187,-0.01805,0.05435
1994-02-04 11:05,16.32721,7.43271,-0.50698,1.00185
1994-03-22 14:20,0.03602,-2.42469,-3.27641,-0.2956
1994-04-18 10:06,14.95191,0.87367,2.75876,-0.16571
1994-05-17 14:26,11.20618,-9.57691,-4.32026,-0.24847
1994-07-06 14:18,-5.04265,2.44743,1.2094,-0.55833
1994-08-16 13:18,12.51486,-4.76067,-3.07547,0.40603
1994-09-27 14:18,-9.078,3.47578,2.31738,-0.20094
1994-11-15 14:20,11.93134,-2.00119,-0.99872,-1.33359
1994-12-20 14:17,-22.6383,9.53406,-0.83478,0.14753
1995-02-01 14:15,6.21369,2.83663,-0.5246,0.24777
1995-03-28 14:15,-1.04085,1.86317,0.19023,-0.22658
1995-05-23 14:15,-0.00622,0.79217,-0.04048,0.02174
1995-07-06 14:15,-11.28696,-11.49577,-2.28801,-3.71804
1995-08-22 14:15,3.43697,1.47831,0.87077,0.25659
1995-09-26 14:15,3.01101,2.75171,1.04752,0.68482
1995-11-15 14:15,4.02212,0.40393,0.36169,0.41079
1995-12-19 14:15,-9.05057,-0.63667,-0.66774,-0.30688
1996-01-31 14:15,-3.02463,-2.60081,0.53746,-0.65554
1996-03-26 11:39,2.07624,1.37143,-0.43471,1.15731
1996-05-21 14:15,1.51649,0.77238,0.75054,-0.22757
1996-07-03 14:15,-6.64524,-0.16331,0.68591,0.03129
1996-08-20 14:15,-4.98692,2.34104,0.92305,-0.24636
1996-09-24 14:15,-13.10724,0.51638,0.00598,-1.3281
1996-11-13 14:15,0.0608,-1.4206,-0.81861,0.47786
1996-12-17 14:15,-0.00672,2.35495,-0.62826,0.19489
1997-02-05 14:15,-3.13175,2.77494,1.08682,-0.60351
1997-03-25 14:15,4.94639,5.19613,0.41006,0.14515
1997-05-20 14:15,-9.79966,-0.86491,0.16028,0.73201
1997-07-02 14:15,-2.64196,-0.643,0.099,0.30815
1997-08-19 14:15,-0.09485,1.43747,1.15831,-0.87997
1997-09-30 14:13,-1.55751,0.32642,1.30252,-0.54225
1997-11-12 14:12,-5.14577,2.07156,-0.48817,-1.65695
1997-12-16 14:15,1.01024,-0.82525,0.22944,-0.39686
1998-02-04 14:12,3.47424,0.17391,0.34703,-0.26821
1998-03-31 14:12,-0.78982,0.53908,0.52802,-0.37413
1998-05-19 14:15,-3.94052,0.43823,0.59027,-0.71928
1998-07-01 14:15,1.04754,0.00564,-0.29416,0.15502
1998-08-18 14:12,1.21208,-1.12419,0.30683,0.12945
1998-09-29 14:15,5.83363,0.68107,0.09206,-2.0685
1998-10-15 15:15,-16.10447,-17.25781,-1.80799,1.91071
1998-11-17 14:15,-6.77958,3.79715,-3.06835,2.0828
1998-12-22 14:15,-3.49639,1.59325,0.37479,-0.39642
1999-02-03 14:15,0.62708,0.26938,0.39925,0.97207
1999-03-30 14:15,-0.5637,-3.10646,1.89735,-1.07631
1999-05-18 14:15,-2.7014,12.56376,3.93212,-1.73406
1999-06-30 14:15,-4.64378,-9.61356,-3.1119,2.81234
1999-08-24 14:15,4.43403,-2.96912,-1.7155,1.74619
1999-10-05 14:15,-4.96524,9.79257,2.12757,-0.80723
1999-11-16 14:15,7.49449,4.8147,-0.70013,0.57936
1999-12-21 14:15,1.7379,0.59625,1.00838,2.68483
2000-02-02 14:15,-6.0016,5.67649,1.49831,-0.18338
2000-03-21 14:15,-3.13134,2.764,-1.29344,-0.14882
2000-05-16 14:15,4.00334,4.38679,0.41288,-0.97734
2000-06-28 14:15,-1.95004,-3.89127,1.17147,0.20496
2000-08-22 14:15,1.69413,-0.22618,0.91473,-0.28638
2000-10-03 14:15,-0.02989,3.60366,0.90572,0.274
2000-11-15 14:15,-1.21306,3.00994,-0.62934,-2.41416
2000-12-19 14:15,6.35143,0.11457,1.49478,-1.19494
2001-01-03 13:15,-37.61865,1.2006,-0.01231,15.03807
2001-01-31 14:15,2.87752,0.85856,0.98559,-1.35321
2001-03-20 14:15,5.47202,-5.44661,2.40559,-2.68886
2001-04-18 10:55,-45.91664,-2.84417,1.00435,4.06603
2001-05-15 14:15,-9.67454,-5.2182,1.88007,-0.40259
2001-06-27 14:12,9.92687,3.81646,-2.0877,-0.63511
2001-08-21 14:15,4.4752,-2.25197,2.44833,-2.33504
2001-10-02 14:15,-3.33076,-1.81291,2.94544,-1.53534
2001-11-06 14:20,-13.6923,-4.54725,0.83184,0.16336
2001-12-11 14:14,-0.74826,-6.17962,0.06756,-0.58924
2002-01-30 14:15,1.74406,0.56719,-1.2152,-0.14273
