Time,u1,u2,u3,u4
1991-01-08 11:30,-2.05828,1.0728,-2.34538,-0.31045
1991-02-01 09:15,-0.44552,-0.11233,0.79743,-0.05182
1991-02-01 11:30,-0.65683,-0.0147,-0.22139,0.28396
1991-02-07 11:30,-0.00986,0.16183,0.08998,-0.41717
1991-03-08 11:30,-0.39537,0.31728,-1.4671,0.59905
1991-03-27 11:30,-0.30221,0.19598,-0.45291,0.10926
1991-04-30 09:30,-2.91252,1.90156,-3.40688,0.67087
1991-04-30 11:30,0.17432,-0.23791,0.68199,-0.38464
1991-05-15 11:30,0.28749,-0.18636,0.57702,-0.3472
1991-07-05 11:30,0.00322,0.17158,0.54202,0.33103
1991-08-06 11:30,-2.83879,1.22827,-1.11761,-0.03129
1991-08-21 11:30,1.90529,-1.14359,0.02713,0.40171
1991-09-13 09:10,-0.80637,0.99195,-0.81985,0.21865
1991-09-13 11:30,-0.0045,0.12416,0.29116,-0.12334
1991-10-02 11:30,-0.16522,0.08933,0.17799,-0.05221
1991-10-30 11:30,-0.45774,0.49883,-0.15707,0.12715
1991-11-06 08:45,-1.53421,1.50599,-1.96365,-0.36052
1991-11-06 11:30,0.00072,-0.2495,0.36852,0.01302
1991-12-06 11:30,0.00246,0.21098,0.02505,0.20798
1991-12-18 11:30,0.73153,0.33474,-0.7025,0.24774
1991-12-20 08:30,-5.80972,-0.14971,-0.20156,-1.95143
1991-12-20 11:30,0.19438,0.29987,-0.54604,0.10649
1992-02-06 11:30,0.19452,0.21366,-0.47651,0.11153
1992-04-01 11:30,0.1525,0.12322,-0.0451,-0.22141
1992-04-09 11:30,-3.25965,-1.81927,1.30968,-0.20913
1992-05-20 11:30,-0.00192,0.86494,-0.92661,0.052
1992-07-02 09:15,-1.29671,0.97832,0.21715,0.71085
1992-08-19 11:30,0.39733,0.19988,-0.42602,0.18838
1992-09-04 11:30,0.00121,-0.19777,0.5684,0.0954
1992-10-07 11:30,-0.0079,0.71866,-0.4934,-0.22066
1992-11-18 11:30,-0.75672,0.68634,-0.37107,0.42659
1992-12-23 11:30,0.59004,-0.31234,0.09137,-0.09606
1993-02-04 11:30,-0.00171,-0.00477,0.18238,-0.05261
1993-03-24 11:30,-0.00235,0.28835,0.0468,-0.00047
1993-05-19 11:30,-0.39105,-0.2131,-0.24811,-0.00723
1993-07-08 11:30,0.42539,-0.78773,-0.01435,0.43988
1993-08-18 11:30,-0.00061,0.30763,0.10769,0.10644
1993-09-22 11:30,0.00146,0.3059,-0.07353,0.1747
1993-11-17 11:30,0.35378,0.02096,-0.71258,-0.0178
1993-12-22 11:30,0.00075,-0.0123,-0.00684,0.03171
1994-02-04 11:05,2.48702,1.76236,-0.19211,0.58439
1994-03-22 14:20,0.00549,-0.57492,-1.24152,-0.17242
1994-04-18 10:06,2.27753,0.20715,1.04537,-0.09666
1994-05-17 14:26,1.70697,-2.27077,-1.63706,-0.14494
1994-07-06 14:18,-0.76811,0.58031,0.45828,-0.32568
1994-08-16 13:18,1.90631,-1.1288,-1.16538,0.23684
1994-09-27 14:18,-1.38279,0.82414,0.87812,-0.11721
1994-11-15 14:20,1.81743,-0.4745,-0.37844,-0.77789
1994-12-20 14:17,-3.44835,2.26061,-0.31632,0.08606
1995-02-01 14:15,0.94649,0.67259,-0.19878,0.14452
1995-03-28 14:15,-0.15855,0.44177,0.07208,-0.13216
1995-05-23 14:15,-0.00095,0.18783,-0.01534,0.01268
1995-07-06 14:15,-1.71927,-2.72575,-0.86699,-2.16876
1995-08-22 14:15,0.52353,0.35052,0.32996,0.14967
1995-09-26 14:15,0.45865,0.65246,0.39693,0.39946
1995-11-15 14:15,0.61266,0.09578,0.13706,0.23961
1995-12-19 14:15,-1.37862,-0.15096,-0.25303,-0.179
1996-01-31 14:15,-0.46072,-0.61668,0.20366,-0.38238
1996-03-26 11:39,0.31626,0.32518,-0.16472,0.67507
1996-05-21 14:15,0.231,0.18314,0.2844,-0.13275
1996-07-03 14:15,-1.01223,-0.03872,0.25991,0.01825
1996-08-20 14:15,-0.75963,0.55508,0.34977,-0.1437
1996-09-24 14:15,-1.99654,0.12244,0.00226,-0.77469
1996-11-13 14:15,0.00926,-0.33684,-0.31019,0.27874
1996-12-17 14:15,-0.00102,0.55838,-0.23806,0.11368
1997-02-05 14:15,-0.47704,0.65796,0.41183,-0.35203
1997-03-25 14:15,0.75345,1.23205,0.15538,0.08467
1997-05-20 14:15,-1.49272,-0.20508,0.06074,0.42699
1997-07-02 14:15,-0.40243,-0.15246,0.03751,0.17974
1997-08-19 14:15,-0.01445,0.34084,0.43892,-0.51329
1997-09-30 14:13,-0.23725,0.0774,0.49356,-0.3163
1997-11-12 14:12,-0.78382,0.49119,-0.18498,-0.96651
1997-12-16 14:15,0.15388,-0.19567,0.08694,-0.23149
1998-02-04 14:12,0.52921,0.04124,0.1315,-0.15645
1998-03-31 14:12,-0.12031,0.12782,0.20008,-0.21823
1998-05-19 14:15,-0.60023,0.10391,0.22367,-0.41956
1998-07-01 14:15,0.15957,0.00134,-0.11146,0.09043
1998-08-18 14:12,0.18463,-0.26656,0.11626,0.07551
1998-09-29 14:15,0.8886,0.16149,0.03488,-1.20657
1998-10-15 15:15,-2.45309,-4.09198,-0.6851,1.11453
1998-11-17 14:15,-1.03269,0.90034,-1.16268,1.21491
1998-12-22 14:15,-0.53258,0.37777,0.14202,-0.23123
1999-02-03 14:15,0.09552,0.06387,0.15129,0.56701
1999-03-30 14:15,-0.08587,-0.73657,0.71896,-0.62782
1999-05-18 14:15,-0.41149,2.97898,1.48998,-1.01149
1999-06-30 14:15,-0.70736,-2.27946,-1.17918,1.64046
1999-08-24 14:15,0.67541,-0.70401,-0.65005,1.01857
1999-10-05 14:15,-0.75632,2.3219,0.80619,-0.47086
1999-11-16 14:15,1.14159,1.14161,-0.2653,0.33795
1999-12-21 14:15,0.26472,0.14138,0.3821,1.56608
2000-02-02 14:15,-0.91419,1.34595,0.56775,-0.10697
2000-03-21 14:15,-0.47698,0.65537,-0.49012,-0.08681
2000-05-16 14:15,0.6098,1.04015,0.15645,-0.57009
2000-06-28 14:15,-0.29704,-0.92265,0.4439,0.11955
2000-08-22 14:15,0.25806,-0.05363,0.34661,-0.16705
2000-10-03 14:15,-0.00455,0.85446,0.3432,0.15983
2000-11-15 14:15,-0.18478,0.71368,-0.23848,-1.4082
2000-12-19 14:15,0.96747,0.02717,0.56641,-0.69702
2001-01-03 13:15,-5.73021,0.28467,-0.00466,8.77182
2001-01-31 14:15,0.43831,0.20357,0.37347,-0.78934
2001-03-20 14:15,0.83352,-1.29144,0.91154,-1.56843
2001-04-18 10:55,-6.99419,-0.67438,0.38057,2.37175
2001-05-15 14:15,-1.47366,-1.23728,0.71241,-0.23484
2001-06-27 14:12,1.5121,0.90492,-0.79109,-0.37047
2001-08-21 14:15,0.68168,-0.53396,0.92774,-1.36205
2001-10-02 14:15,-0.50735,-0.42986,1.11611,-0.89558
2001-11-06 14:20,-2.08566,-1.07819,0.31521,0.09529
2001-12-11 14:14,-0.11398,-1.46524,0.0256,-0.34371
2002-01-30 14:15,0.26566,0.13449,-0.46047,-0.08326
2002-03-19 14:15,-0.51595,-0.29778,-0.29082,-1.38005
2002-05-07 14:15,0.08323,-0.38559,0.18942,-0.87182
2002-06-26 14:15,0.05683,0.19978,0.58204,-0.78453
2002-08-13 14:15,0.49147,-1.77394,0.40296,-2.25854
2002-09-24 14:15,0.25968,0.33566,0.09967,-2.11517
2002-11-06 14:14,-3.18941,1.59183,-0.50178,-1.89561
2002-12-10 14:15,-0.01124,0.48268,0.18123,-0.34781
2003-01-29 14:16,0.12691,0.6361,0.05744,0.88825
2003-03-18 14:15,0.34386,-0.11211,-0.1345,-1.04532
2003-05-06 14:13,0.23433,-2.18022,0.39239,-0.83702
2003-06-25 14:15,2.02731,0.33907,-0.1128,0.55985
2003-08-12 14:15,0.0531,-0.72599,-0.38496,-0.80312
